Date,Topic,# Job postings
2017-06-30,Generative AI,596
2017-09-30,Generative AI,1142
2017-12-31,Generative AI,1417
2018-03-31,Generative AI,1514.25
2018-06-30,Generative AI,1591.8
2018-09-30,Generative AI,1825.8
2018-12-31,Generative AI,1844.6
2019-03-31,Generative AI,1834.6
2019-06-30,Generative AI,1887.2
2019-09-30,Generative AI,1936.4
2019-12-31,Generative AI,1875.2
2020-03-31,Generative AI,1961.6
2020-06-30,Generative AI,1932.6
2020-09-30,Generative AI,1901
2020-12-31,Generative AI,1924
2021-03-31,Generative AI,2020.6
2021-06-30,Generative AI,1938.2
2021-09-30,Generative AI,1977.2
2021-12-31,Generative AI,1771
2022-03-31,Generative AI,1755.6
2022-06-30,Generative AI,1770.2
2022-09-30,Generative AI,1886.4
2022-12-31,Generative AI,3254.6
2023-03-31,Generative AI,6169
2023-06-30,Generative AI,8562