Skill,axis,value
deep learning,AI software development,26.8789808917197
deep learning,AI research & methodology,36.0509554140127
deep learning,Machine learning tools,98.0891719745223
deep learning,AI data management,46.2420382165605
deep learning,AI web development,9.42675159235669
machine learning,AI software development,17.834394904458602
machine learning,AI research & methodology,14.012738853503201
machine learning,Machine learning tools,97.57961783439491
machine learning,AI data management,12.2292993630573
machine learning,AI web development,81.4012738853503
python (programming language),AI software development,48.6624203821656
python (programming language),AI research & methodology,35.4140127388535
python (programming language),Machine learning tools,68.2802547770701
python (programming language),AI data management,75.1592356687898
python (programming language),AI web development,84.33121019108279
sql,AI software development,42.165605095541395
sql,AI research & methodology,1.4012738853503202
sql,Machine learning tools,12.9936305732484
sql,AI data management,98.0891719745223
sql,AI web development,87.515923566879